"Position","FileName","Cyrillic","Latin","English","UnicodeHex","OriginalFile"
"23","23.mp3","х","kh","khah","U+0445","22h.mp3"
"22","22.mp3","ф","f","ef","U+0444","21f.mp3"
"25","25.mp3","ч","ch","cheh","U+0447","24ch.mp3"
"24","24.mp3","ц","ts","tseh","U+0446","23c.mp3"
"19","19.mp3","с","s","es","U+0441","18s.mp3"
"18","18.mp3","р","r","er","U+0440","17r.mp3"
"21","21.mp3","у","u","oo","U+0443","20u.mp3"
"20","20.mp3","т","t","teh","U+0442","19t.mp3"
"31","31.mp3","э","e","eh","U+044D","28e.mp3"
"30","30.mp3","ь","","soft sign","U+044C","softsign.mp3"
"33","33.mp3","я","ya","ya","U+044F","30ya.mp3"
"32","32.mp3","ю","yu","yu","U+044E","29Y.mp3"
"27","27.mp3","щ","shch","shchah","U+0449","26sha.mp3"
"26","26.mp3","ш","sh","shah","U+0448","25sh.mp3"
"29","29.mp3","ы","y","ih","U+044B","27yy.mp3"
"28","28.mp3","ъ","","hard sign","U+044A","hardsign.mp3"
"17","17.mp3","п","p","peh","U+043F","16p.mp3"
"6","06.mp3","е","ye","yeh","U+0435","5e.mp3"
"5","05.mp3","д","d","deh","U+0434","4d.mp3"
"8","08.mp3","ж","zh","zheh","U+0436","6g.mp3"
"7","07.mp3","ё","yo","yo","U+0451","6_1yo.mp3"
"2","02.mp3","б","b","beh","U+0431","2b.mp3"
"1","01.mp3","а","a","ah","U+0430","1a.mp3"
"4","04.mp3","г","g","geh","U+0433","4g.mp3"
"3","03.mp3","в","v","veh","U+0432","3v.mp3"
"14","14.mp3","м","m","em","U+043C","13m.mp3"
"13","13.mp3","л","l","el","U+043B","12l.mp3"
"16","16.mp3","о","o","oh","U+043E","15p.mp3"
"15","15.mp3","н","n","en","U+043D","14n.mp3"
"10","10.mp3","и","i","ee","U+0438","8i.mp3"
"9","09.mp3","з","z","zeh","U+0437","7z.mp3"
"12","12.mp3","к","k","kah","U+043A","10k.mp3"
"11","11.mp3","й","y","y","U+0439","9y.mp3"
